år,kuldioxid_ekskl_afbrænding_af_biomasse,lattergas,metan
1990,3.1,6.3,7
1991,3.1,6.1,7.2
1992,2.8,6,7.3
1993,2.8,5.8,7.5
1994,2.8,5.7,7.4
1995,3,5.6,7.4
1996,2.9,5.3,7.4
1997,2.8,5.3,7.4
1998,2.6,5.4,7.5
1999,2.6,5.2,7.3
2000,2.7,5.1,7.4
2001,2.7,5,7.6
2002,2.6,5,7.6
2003,2.5,4.8,7.7
2004,2.3,4.9,7.6
2005,2.4,4.8,7.4
2006,2.4,4.7,7.3
2007,2.3,4.9,7.3
2008,2.2,4.9,7.2
2009,2.1,4.8,7.2
2010,2.2,4.7,7.3
2011,2.1,4.7,7.3
2012,1.9,4.6,7.3
2013,2,4.6,7.2
2014,1.8,4.7,7.3
2015,1.8,4.7,7.2
2016,1.9,4.8,7.2
2017,1.8,4.9,7.2
2018,1.8,4.6,7.3
2019,1.7,4.8,7.1
2020,1.8,4.9,7.3
2021,1.9,4.7,7.2
2022,2.1,4.6,7